time,consumer_price,food,clothes,shoes,group
15-Jan,99.77,99.76,99.77,99.1,1
15-Feb,99.71,100.43,99.55,99.14,1
15-Mar,99.72,99.41,99.56,99.51,1
15-Apr,99.75,99.29,99.53,96.7,1
15-May,100.03,100.79,99.82,99.59,1
15-Jun,100.05,100.56,99.84,99.52,1
15-Jul,100.23,100.29,99.83,99.94,1
15-Aug,100.37,100.95,99.84,100.65,1
15-Sep,100.11,100.69,99.92,102.95,1
15-Oct,100.11,99.66,99.93,100.09,1
15-Nov,99.92,98.22,101.21,100.27,1
15-Dec,100.22,99.95,101.2,102.55,1
16-Jan,100.39,100.8,101.16,98.12,2
16-Feb,100.82,103.65,101.15,103.73,2
16-Mar,100.56,102.38,101.16,103.66,2
16-Apr,100.75,102.45,101.16,103.98,2
16-May,100.81,101.39,101.72,103.88,2
16-Jun,100.79,99.64,101.73,103.91,2
16-Jul,100.6,99.69,101.73,98.6,2
16-Aug,100.86,101.16,101.75,103.81,2
16-Sep,101.46,106.36,101.73,104.02,2
16-Oct,101.6,104.76,101.74,104.59,2
16-Nov,101.45,103.12,102.3,100.89,2
16-Dec,101.56,104.23,102.23,104.62,2
17-Jan,102.43,106.43,102.32,100.15,3
17-Feb,102.77,106.82,102.34,104.56,3
17-Mar,102.79,106.27,102.38,104.61,3
17-Apr,102.66,105.44,102.43,97.45,3
17-May,102.8,105.17,102.81,104.64,3
17-Jun,102.67,104.65,102.83,105.4,3
17-Jul,102.86,105.65,102.82,100.5,3
17-Aug,103.48,109.02,102.82,105.67,3
17-Sep,103.59,110.04,102.82,106.07,3
17-Oct,103.4,106.65,102.83,106.08,3
17-Nov,102.72,103.78,103.6,101.03,3
17-Dec,103.04,104.69,103.6,106.07,3
18-Jan,103.46,106.11,103.61,101.84,4
18-Feb,104.26,109.37,103.62,106.06,4
18-Mar,104.16,107.96,103.73,106.06,4
18-Apr,104.3,108.65,103.55,106.09,4
18-May,104.38,107.84,103.6,106.1,4
18-Jun,104.2,106.53,103.61,106.09,4
18-Jul,104.37,107.33,103.53,105.8,4
18-Aug,104.91,112.42,103.53,105.8,4
18-Sep,105.6,115.99,103.6,105.8,4
18-Oct,105.42,113.01,103.6,105.8,4
18-Nov,104.73,109.56,103.89,106.24,4
